,keys,Actual TOW,Estimated TOW,Difference
0,AB_2373_IXB_30,70430.0,15915.44,54514.56
1,AB_2371_GOX_30,51979.0,7516.0,44463.0
2,AB_2385_BOM_30,57762.0,16018.1,41743.9
3,AB_2462_BLR_30,66038.0,14929.0,51109.0
4,AB_2533_AMD_30,71356.0,15853.0,55503.0
5,AB_2607_DEL_30,61908.0,11519.63,50388.37
6,AB_2625_DEL_30,59949.0,7004.0,52945.0
7,AB_2411_DEL_30,68984.0,15158.0,53826.0
8,AB_2492_VNS_30,72684.0,15200.0,57484.0
9,AB_2147_BOM_30,62490.0,10408.57,52081.43
10,AB_2172_BOM_30,72855.0,17971.0,54884.0
11,AB_2382_BBI_30,72004.0,14936.29,57067.71
12,AB_2486_IXZ_30,62316.0,10890.89,51425.11
13,AB_2518_BOM_30,69239.0,16963.0,52276.0
14,AB_2519_COK_30,67759.0,13330.1,54428.9
15,AB_2372_GAU_30,61091.0,10345.0,50746.0
16,AB_2406_DEL_30,62584.0,9572.0,53012.0
17,AB_2148_GWL_30,68543.0,12030.43,56512.57
18,AB_2627_GOX_30,58126.0,16115.0,42011.0
19,AB_2526_LKO_30,66324.0,15576.1,50747.9
20,AB_2498_BOM_30,59043.0,16561.0,42482.0
21,AB_2380_BOM_30,58956.0,15049.0,43907.0
22,AB_2377_BLR_30,57495.0,15002.33,42492.67
23,AB_2142_GOX_30,57246.0,13242.0,44004.0
24,AB_2608_DEL_30,57676.0,15881.0,41795.0
25,AB_2378_DEL_30,50696.0,6287.1,44408.9
26,AB_2486_MAA_30,60082.0,15060.0,45022.0
27,AB_2364_BLR_30,55494.0,12493.67,43000.33
28,AB_2128_DEL_30,56163.0,14040.0,42123.0
29,AB_2608_AYJ_30,68854.0,14295.0,54559.0
30,AB_2127_BOM_30,57848.0,16408.89,41439.11
31,AB_2851_IXB_30,68321.0,14225.22,54095.78
32,AB_2384_BBI_30,57407.0,13733.88,43673.12
33,AB_2394_BOM_30,59785.0,15265.0,44520.0
34,AB_2497_VNS_30,59068.0,15339.0,43729.0
35,AB_2463_GOX_30,70813.0,12675.0,58138.0
36,AB_2383_PNQ_30,60576.0,14914.0,45662.0
37,AB_2108_AMD_30,56076.0,12456.44,43619.56
38,AB_2503_BOM_30,57636.0,16345.88,41290.12
39,AB_2173_CCU_30,59201.0,15870.0,43331.0
40,AB_2534_GOX_30,67534.0,15375.0,52159.0
41,AB_2379_GOX_30,71129.0,14100.0,57029.0
42,AB_2323_GAU_30,58081.0,14180.11,43900.89
43,AB_2431_HYD_30,57816.0,14615.89,43200.11
44,AB_2432_BLR_30,52157.0,8759.22,43397.78
45,AB_2527_BLR_30,57731.0,15739.0,41992.0
46,AB_2451_BOM_30,60928.0,16530.0,44398.0
47,AB_2324_GAU_30,59681.0,16108.56,43572.44
48,AB_2524_BOM_30,69813.0,17523.0,52290.0
49,AB_2465_GOX_30,64058.0,14903.0,49155.0
50,AB_2324_IXA_30,60126.0,15789.0,44337.0
51,AB_2491_BOM_30,59150.0,15425.44,43724.56
52,AB_2110_BOM_30,61874.0,17667.78,44206.22
53,AB_2386_IXB_30,58067.0,16048.3,42018.7
54,AB_2134_BLR_30,54153.0,10890.75,43262.25
55,AB_2143_PNQ_30,58161.0,13860.9,44300.1
56,AB_2629_GOX_30,52401.0,9200.0,43201.0
57,AB_2525_LKO_30,58428.0,15948.4,42479.6
58,AB_2628_BLR_30,58586.0,16590.0,41996.0
59,AB_2365_PNQ_30,57324.0,13947.33,43376.67
60,AB_2124_BOM_30,57645.0,15673.67,41971.33
61,AB_2104_BLR_30,58579.0,16147.89,42431.11
62,AB_2504_GAU_30,57636.0,15123.33,42512.67
63,AB_2510_PNQ_30,56501.0,12581.0,43920.0
64,AB_2541_CCU_30,56710.0,14434.11,42275.89
65,AB_2334_DEL_30,57812.0,15361.78,42450.22
66,AB_2376_BOM_30,57856.0,15367.67,42488.33
67,AB_2407_HYD_30,57222.0,15987.2,41234.8
68,AB_2550_BLR_30,56177.0,11837.71,44339.29
69,AB_2120_BOM_30,57442.0,14787.56,42654.44
70,AB_2642_BOM_30,56668.0,13727.22,42940.78
71,AB_2358_GOX_30,52841.0,8425.9,44415.1
72,AB_2349_BOM_30,59113.0,14996.0,44117.0
73,AB_2401_LKO_30,57016.0,14791.9,42224.1
74,AB_2424_VNS_30,58545.0,14892.33,43652.67
75,AB_2437_BLR_30,56764.0,14420.0,42344.0
76,AB_2525_BOM_30,56808.0,13476.2,43331.8
77,AB_2368_BLR_30,45286.0,191.6,45094.4
78,AB_2630_DEL_30,48491.0,4510.0,43981.0
79,AB_2135_GAU_30,57698.0,14184.25,43513.75
80,AB_2508_AMD_30,58302.0,16364.9,41937.1
81,AB_2551_PNQ_30,57967.0,13493.29,44473.71
82,AB_2125_CCU_30,58560.0,16855.33,41704.67
83,AB_2341_BOM_30,58669.0,15964.7,42704.3
84,AB_2397_GOX_30,57833.0,13783.2,44049.8
85,AB_2409_DEL_30,44852.0,727.7,44124.3
86,AB_2643_HYD_30,44463.0,1369.0,43094.0
87,AB_2366_BLR_30,57916.0,14987.33,42928.67
88,AB_2146_DEL_30,57877.0,15126.0,42751.0
